workId, aired, genres
"467","Oct 1, 2002 to Oct 1, 2003","Action, Military, Sci-Fi, Police, Mecha, Seinen"
"572","Mar 11, 1984","Adventure, Fantasy"
"33","Oct 8, 1997 to Apr 1, 1998","Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
"11981","Oct 26, 2013","Mystery, Psychological, Drama, Magic, Thriller"
"13125","Sep 29, 2012 to Mar 23, 2013","Sci-Fi, Mystery, Horror, Psychological, Supernatural, Drama"
"35788","Oct 4, 2017 to Dec 20, 2017","Ecchi, School, Shounen"
"7655","Apr 3, 2010 to Sep 25, 2010","Comedy, Drama, Shounen, Sports"
"2246","Jul 13, 2007 to Sep 28, 2007","Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen"
"31181","Oct 4, 2015 to Dec 20, 2015","Mystery, Comedy, Supernatural, Vampire"
"25777","Apr 1, 2017 to Jun 17, 2017","Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power"
"31646","Oct 8, 2016 to Mar 18, 2017","Game, Slice of Life, Drama, Seinen"
"9260","Jan 8, 2016","Mystery, Supernatural, Vampire"
"9756","Jan 7, 2011 to Apr 22, 2011","Drama, Magic, Psychological, Thriller"
"11917","Dec 16, 2011 to Jan 18, 2012","Comedy, Drama, Shounen, Sports"
"10937","Apr 24, 2015 to May 5, 2018","Action, Military, Sci-Fi, Space, Mecha, Shounen"
"13601","Oct 12, 2012 to Mar 22, 2013","Action, Police, Psychological, Sci-Fi"
"32282","Jul 2, 2016 to Sep 24, 2016","Ecchi, School, Shounen"
"523","Apr 16, 1988","Adventure, Comedy, Supernatural"
"12029","May 25, 2012 to Oct 25, 2013","Action, Drama, Military, Sci-Fi, Space"
"31964","Apr 3, 2016 to Jun 26, 2016","Action, Comedy, School, Shounen, Super Power"
"3784","Jul 27, 2009","Action, Sci-Fi, Mecha"
"25537","Oct 14, 2017","Action, Fantasy, Magic, Supernatural"
"10087","Oct 2, 2011 to Dec 25, 2011","Action, Supernatural, Magic, Fantasy"
"6594","Jan 26, 2010 to Dec 11, 2010","Action, Adventure, Historical, Martial Arts, Romance"
"11979","Oct 13, 2012","Drama, Magic, Psychological, Thriller"
"37078","Apr 27, 2018 to May 11, 2018","Action, Game"
"2559","Jan 15, 1995 to Dec 17, 1995","Adventure, Drama, Historical, Slice of Life"
"12531","Apr 13, 2012 to Jun 29, 2012","Drama, Josei, Music, Romance, School"
"25835","Oct 9, 2014 to Mar 26, 2015","Comedy, Drama"
"10863","Feb 22, 2012","Sci-Fi, Comedy, Thriller"
"34036","Dec 9, 2016","Adventure, Mystery, Comedy, Police, Shounen"
"486","Apr 8, 2003 to Jul 8, 2003","Action, Adventure, Psychological, Slice of Life"
"18115","Oct 6, 2013 to Mar 30, 2014","Action, Adventure, Magic, Fantasy, Shounen"
"5341","Jul 9, 2009 to Sep 24, 2009","Adventure, Historical, Romance, Fantasy"
"25781","Dec 9, 2014 to Apr 9, 2015","Action, Fantasy, Shoujo"
"5","Sep 1, 2001","Action, Drama, Mystery, Sci-Fi, Space"
"30230","Apr 6, 2015 to Mar 28, 2016","Comedy, Sports, School, Shounen"
