"workId","engName","synonymsName","jpName","episodes","genres"
"3917",\N,\N,"人妻コスプレ喫茶2～人妻ラブラブ・コスプレOVA～","2","Hentai"
"2188","Maid in Heaven",\N,"MAID iN HEAVEN SuperS","2","Hentai"
"10256",\N,"Shion Bonus Video, Shion Alternate Ending","シオン","1","Hentai"
"36721",\N,"Do S na Maina Kaichou-sama ga M Note ni Shihai Saremashita","ドSなマイナ会長サマがMノートに支配されました。",\N,"Hentai, School"
"36876",\N,\N,"フリフレ2",\N,"Hentai"
"24849",\N,\N,"淫術の館 THE ANIMATION","1","Hentai"
"2883","Karma Saiyuki","Iyashite Agerun Saiyuki, The Karma Saiyuki","癒してあげルン 西遊記","1","Hentai, Parody"
"1785","The Story of Little Monica","Little Monica Story, Tales of Little Monica, Little Monica's Story","リトルモニカ物語","2","Hentai"
"33165",\N,\N,"魔将の贄3","2","Hentai"
"7581",\N,\N,"乙女恥曝遊戯","2","Hentai"
"3995",\N,"Special Hospital Ward","特別病棟","2","Hentai"
"823",\N,"Shoya -Virgin Night-, First Night","初夜 -ヴァージン・ナイト-","1","Hentai, Romance"
"2325",\N,\N,"エンジェルブレイドパニッシュ！","3","Adventure, Hentai, Magic, Sci-Fi"
"14659",\N,\N,"ハンプバング","2","Hentai"
"29915","Pure Love Maniac",\N,"純愛まにあっく","2","Hentai"
"7712",\N,\N,"感染2 淫罪都市","2","Hentai"
"38265",\N,"Cornelica, Town of Succubi","夢魔の街コルネリカ",\N,"Hentai, Demons, Supernatural"
"2870","Night Shift Nurses: Yagami Yu","Anime Yagami Yuu","八神優 (アニメ)","1","Hentai"
"5643",\N,"If I Call Your Name","キミの名を呼べば","2","Hentai, School"
"27879",\N,\N,"えろまめ","2","Hentai"
"38095",\N,\N,"発情スイッチ~堕とされた少女達~ THE ANIMATION",\N,"Hentai"
"3747",\N,"Inyouchuu ~Ryoushoku Gakuen Taimaroku~, Inyouchuu ~Ryoushoku Gakuen Taimaroku~ The Animation","淫妖蟲～凌触学園退魔録～","2","Hentai, School, Supernatural"
"3050","Panty Flash Teacher",\N,"パンチラティーチャー","2","Hentai, School"
"8289",\N,"The Invisible Stud Returns","透明人間R","2","Hentai"
"30128",\N,\N,"アラルガンド The Animation","1","Hentai"
"2140",\N,"Elder Brother's Wife, My Brother's Wife","兄嫁","2","Hentai"
"33138",\N,\N,"なま LO Re: なまけもの THE ANIMATION","1","Hentai"
"1387","Night Shift Nurses","NSN","夜勤病棟","10","Hentai"
"9849",\N,\N,"明菜と温泉でHしよっ","1","Hentai"
"17543",\N,\N,"D-spray","1","Hentai"
"18653",\N,\N,"JKとオーク兵団～悪豚鬼に凌虐された聖女学園～","2","Hentai, Demons, Supernatural"
"36755",\N,\N,"ジュヴナイル・ポルノグラフィ THE ANIMATION","1","Hentai"
"2148","No Money",\N,"お金がないっ","4","Drama, Romance, Yaoi"
"4714","The Rapeman",\N,"レイプマン アニメ・バージョン","2","Hentai"
"35592",\N,\N,"Zトン人外アニメーション A Beautiful Greed Nulu Nulu","1","Hentai"
"7266",\N,\N,"びんかんアスリート","1","Hentai"
"2590","Genmukan: The Sin of Desire & Shame","Genmukan: Aiyoku to Ryoujoku no Intsumi","幻夢館","2","Hentai"
"6337",\N,"Hitoriga Counseling","独蛾 THE ANIMATION","4","Hentai"
"4057",\N,"Inyouchu Shoku","淫妖蟲・蝕 ～凌触島退魔録～","2","Hentai, Demons, Fantasy"
"9467",\N,\N,"彼女が見舞いに来ない理由","3","Drama, Hentai"
"9638",\N,\N,"俺は彼女を信じてる!","1","Hentai"
"7583",\N,\N,"ワルキューレ調教・ザーメンタンクの戦乙女10人姉妹","2","Hentai"
"10421",\N,\N,"ビーチクビーチ～南国乳辱撮影会～","1","Hentai"
"8655",\N,\N,"美熟母","2","Hentai"
"4004",\N,"Inda no Himekishi Janne The Animation, The Princess Knight Janne","淫堕の姫騎士ジャンヌ","2","Fantasy, Hentai, Horror"
"32195",\N,"Pure-Hearted Girl Et Cetera Specials","純情少女エトセトラ","2","Hentai"
